"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"First prototype or kit tested for basic functions",2,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","dca34c45-229e-4cb7-b36b-c730e0f84eb2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product formulation for scaled-up pilot production",5,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","dd7d7af5-0ca1-4427-b35d-a6d29cce4865",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion and packaging conducted",5,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","de4b9d3c-a7cc-4569-a24d-62cdab82dfb0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Alpha testing successfully conducted",4,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","e0278967-ed7b-4bd6-a195-47278789c4f4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Edited/Modified Plant Regenerated",4,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","e1159c8f-0874-4f51-8050-f36c5f0d8a21",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"New Plant Variety (Conventional)","Industry Adoption Status","/trlquestions/new-plant-variety-(conventional)","e16d41b2-3246-4438-aac6-64525b10e983",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Molecular Construct Planned (CRISPR, RNAi)",2,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","e19f48b4-15aa-47fd-bb77-7d2c4bcf542e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Target Traits for Improvement Identified",2,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","e1d6bd5b-6f4f-4a6e-8b9f-920fd0123765",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial market tests conducted (trade shows, limited release)",6,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","e25cb029-05b6-4b52-a870-888c5baebb49",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Pilot scale-based Manual of Production created",5,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","e3e5a8e2-ee18-44dc-9f7d-425f9991e92d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Processing of Requirements for Fertilizer and Pesticide Authority (FPA) or Bureau of Agriculture and Fisheries Standards (BAFS) Approval/Certification",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Regulatory Compliance Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","e479eb64-6985-4351-ae90-20c4bb1a4fc6",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Product promotion Conducted",5,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","e5511cfc-7715-4a32-bd98-696f5b59dff1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Business Plan crafted",7,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","e5f21786-04ab-450f-adf7-720f9c88837c",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","e6124f7f-e338-47d4-bb99-5c7c6164530f",2026-02-03T08:26:38Z,2026-02-05T12:43:12Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Pilot scale-based Manual of Production created",5,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","e6c64716-0daa-43b6-88e6-6d65d7e35360",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"Agri-Aqua Machinery and Facility","Industry Adoption Status","/trlquestions/agri-aqua-machinery-and-facility","e94bd737-a332-4352-8181-a965a1a118a7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary testing conducted (e.g., tensile strength, density, absorption)",3,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","e96cafea-03b6-4e96-85b0-7e2bf7bb63a1",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept development completed or Prior Art Search Conducted",1,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","ea95ecf5-7dba-4dbf-9b0d-d3b65ed91a78",2026-02-03T08:26:38Z,2026-02-05T12:43:28Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Seed/plant materials production protocol standardized for commercial adoption",7,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","eb39e911-9829-4628-a826-66755d8ae000",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Accomplished Initial Business Model Canvas (BMC)",4,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","eb6189be-6a62-47fd-bf2c-3ea9fe0becb7",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial meeting with potential industry partners",5,"Natural Resource & Derived Materials","Industry Adoption Status","/trlquestions/natural-resource-%26-derived-materials","ec7ad663-cc02-4fb3-a3b4-f9f751edc6b4",2026-02-03T08:26:38Z,2026-02-06T15:56:12Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","ecaca47c-d7f1-4590-aa16-f74846f5e5cb",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Field testing completed (e.g., construction site, packaging trial)",7,"Natural Resource & Derived Materials","Technology Status","/trlquestions/natural-resource-%26-derived-materials","ece39597-c979-4719-bb93-9108aa962bff",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Engagement with farms/aquaculture operators for breeding and performance testing",6,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","ed40f303-372e-43a1-82ac-2b2ef8e8864a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Variety officially registered and released",8,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","ee3f0af2-eeb0-48cc-959f-6a6b7e9241d3",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Agri-Aqua Device and Diagnostic Kits","Industry Adoption Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","ef68938a-010e-46e1-b2b7-0f646bdd441a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Negotiated",8,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","ef91fac9-8a88-48bb-aa10-a4b43a3115ba",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","efe232d9-76ef-46cd-b72e-d770c9efdfbd",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Proof of Potential Economic Viability",3,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","f01259e0-108a-4866-a0a9-39cf0aeebff4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First prototype created",2,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","f0b0beae-b6ea-4dd7-8f47-b98819a6408e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology fully commercialized/Device or kit commercially available to target users",9,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","f0e8f149-c109-4e93-a5ae-a8a9b72becc0",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Shelf-life established at least under laboratory conditions",4,"Food, Food Ingredients and Beverages","Technology Status","/trlquestions/food%2C-food-ingredients-and-beverages","f1c5b023-9b0d-4bb3-9396-d96f28c0346f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial crosses or mutation events conducted",3,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","f1f0f46c-b2d2-4286-b2f5-2e789a65845b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",2,"New Plant Variety (Conventional)","Market and Commercialization Status","/trlquestions/new-plant-variety-(conventional)","f3309598-8344-4428-a25d-8a5865dacd97",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,"New Plant Variety (Conventional)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(conventional)","f39e50c4-06e7-45dd-b7d9-60389e3269e4",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Concept Development or Breeding objectives identified",1,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","f3db58b5-ce62-4792-9472-78addbb264e5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)",4,"Natural Resource & Derived Materials","Regulatory Compliance Status","/trlquestions/natural-resource-%26-derived-materials","f46acfb8-93ce-4d6a-90cd-e907b00e4d41",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Agreement signed",9,"ICT (Apps and System involving IoT)","Industry Adoption Status","/trlquestions/ict-(apps-and-system-involving-iot)","f53c0419-8f54-4dd0-8d17-91e10c0f48f5",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Seed/plant certification or registration obtained",8,"New Plant Variety (Conventional)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(conventional)","f550a5ee-58b3-47f3-a71f-024c58395265",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Market Research conducted",4,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","f58340cb-4e0c-4709-b8e2-3c7988390fb2",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Agreements with industry parters for product testing secured",6,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","f5ae7950-7517-490a-9a02-ae57bdb19fbc",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Target traits clearly identified",2,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","f622cb44-ff49-4c3c-9dac-5968ec0d44f9",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","f6cb4663-2c0c-4153-ae2a-62bbbc3cf387",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Freedom to Operate (FTO) Report Prepared",4,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Market and Commercialization Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","f70dd856-834e-4ec9-ae43-6563a8f6617b",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Genetics, Lineage, and Breeding Foundation Reviewed",2,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","f81966b5-be47-4f83-b758-65d9117dc56d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Standardized manual for industry-scale production established",7,"Animal Feed, Feed Ingredients and Animal Nutrition","Regulatory Compliance Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","f9654e62-7ca9-428d-b336-b89ca67a6b58",2026-02-03T08:26:38Z,2026-02-05T02:20:18Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Preliminary field trials conducted in controlled plots",5,"New Plant Variety (Conventional)","Technology Status","/trlquestions/new-plant-variety-(conventional)","f9d10e07-b070-4b23-935b-44cc98e53b88",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Bioinformatic Analysis of Gene Function/In-silico Studies Conducted",1,"New Plant Variety (Gene-Edited and GM)","Technology Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","fb177a63-ba25-471f-b233-fc2c39f913ee",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"First formulation created",2,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Technology Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","fbab66c5-0b63-4101-bc33-d616c4c3c67d",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"System design formulated",2,"ICT (Apps and System involving IoT)","Technology Status","/trlquestions/ict-(apps-and-system-involving-iot)","fc0a7670-ee20-4a45-ba9a-a5a091f22208",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Feeding Trial Experiments with Target Animals",3,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","fec7e8dc-f4de-4aaa-870c-e3de84f1355f",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Fairness Opinion Review requested",8,"Natural Resource & Derived Materials","Market and Commercialization Status","/trlquestions/natural-resource-%26-derived-materials","fec99900-2d7e-4ab0-b6f7-339a771ec424",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Protocols standardized for propagation of new breed/strain",7,"New Animal Breed (Aquatic and Terrestrial)","Industry Adoption Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","ff1b90f1-5ebf-4c45-b1a7-cdc8a8e4d465",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Commercialization Plan prepared",6,"Agri-Aqua Device and Diagnostic Kits","Market and Commercialization Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","ff32fe9b-fcfe-45c7-99db-aa35ae862b43",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
